coin,entry_time,exit_time,direction,entry_price,exit_price,tp,sl,rr,bars_held,net_pnl,outcome,lgbm_conf
1000PEPEUSDT,2026-04-07 16:00:00+00:00,2026-04-08 11:00:00+00:00,LONG,0.00336,0.003651,0.003427,0.003297,1.06,19,2.1467,GUARDIAN_MOMENTUM_FLOOR,0.9275
ARBUSDT,2026-04-07 16:00:00+00:00,2026-04-08 14:00:00+00:00,LONG,0.093747,0.09985,0.0958,0.092317,1.44,22,1.6076,GUARDIAN_MOMENTUM_FLOOR,0.8048
ETHUSDT,2026-04-07 17:00:00+00:00,2026-04-08 14:00:00+00:00,LONG,2099.339145,2193.632635,2140.986348,2047.598199,0.8,21,1.1029,GUARDIAN_MOMENTUM_FLOOR,0.8303
LINKUSDT,2026-04-07 20:00:00+00:00,2026-04-08 02:00:00+00:00,LONG,8.728362,9.1944,8.90814,8.521055,0.87,6,1.3148,GUARDIAN_MOMENTUM_FLOOR,0.916
BTCUSDT,2026-04-08 17:00:00+00:00,2026-04-09 01:00:00+00:00,SHORT,71811.57625,70935.45,70635.169955,73152.601574,0.88,8,0.285,GUARDIAN_MOMENTUM_FLOOR,0.8494
ETHUSDT,2026-04-08 17:00:00+00:00,2026-04-09 03:00:00+00:00,SHORT,2229.58465,2182.400655,2181.055313,2281.782334,0.93,10,0.5091,GUARDIAN_MOMENTUM_FLOOR,0.8151
DOGEUSDT,2026-04-08 17:00:00+00:00,2026-04-09 09:00:00+00:00,SHORT,0.093933,0.091946,0.092232,0.096005,0.82,16,0.5089,GUARDIAN_MOMENTUM_FLOOR,0.7787
LINKUSDT,2026-04-08 17:00:00+00:00,2026-04-09 15:00:00+00:00,SHORT,9.093451,8.94447,8.915983,9.315367,0.8,22,0.3896,GUARDIAN_MOMENTUM_FLOOR,0.8476
ARBUSDT,2026-04-09 00:00:00+00:00,2026-04-09 21:00:00+00:00,SHORT,0.102049,0.10502,0.098158,0.104967,1.33,21,-0.3901,LOSS,0.7962
TONUSDT,2026-04-09 12:00:00+00:00,2026-04-09 16:00:00+00:00,LONG,1.223411,1.281459,1.241404,1.209917,1.33,4,1.1662,GUARDIAN_MOMENTUM_FLOOR,0.9305
HBARUSDT,2026-04-09 13:00:00+00:00,2026-04-09 16:00:00+00:00,LONG,0.088314,0.089475,0.08975,0.087289,1.4,3,0.3087,GUARDIAN_MOMENTUM_FLOOR,0.8304
TONUSDT,2026-04-10 04:00:00+00:00,2026-04-10 14:00:00+00:00,LONG,1.256428,1.275162,1.284633,1.226949,0.96,10,0.3528,GUARDIAN_MOMENTUM_FLOOR,0.7705
SUIUSDT,2026-04-10 09:00:00+00:00,2026-04-10 18:00:00+00:00,SHORT,0.935932,0.952858,0.913999,0.952381,1.33,9,-0.4721,LOSS,0.7012
ARBUSDT,2026-04-10 09:00:00+00:00,2026-04-10 22:00:00+00:00,SHORT,0.110245,0.113631,0.105805,0.113575,1.33,13,-0.788,LOSS,0.8076
DOGEUSDT,2026-04-10 12:00:00+00:00,2026-04-10 14:00:00+00:00,SHORT,0.092754,0.093807,0.091412,0.09376,1.33,2,-0.3039,LOSS,0.7535
POLUSDT,2026-04-10 12:00:00+00:00,2026-04-12 00:00:00+00:00,SHORT,0.085067,0.08511,0.083224,0.087291,0.83,36,-0.0325,TIMEOUT,0.8186
DOGEUSDT,2026-04-10 14:00:00+00:00,2026-04-11 14:00:00+00:00,SHORT,0.093923,0.092636,0.09192,0.095118,1.68,24,0.3225,GUARDIAN_EXIT,0.7894
TONUSDT,2026-04-10 14:00:00+00:00,2026-04-11 01:00:00+00:00,LONG,1.276438,1.304248,1.302478,1.24509,0.83,11,0.5247,GUARDIAN_MOMENTUM_FLOOR,0.7531
TRXUSDT,2026-04-11 12:00:00+00:00,2026-04-11 22:00:00+00:00,LONG,0.318139,0.318741,0.31954,0.317088,1.33,10,0.0273,GUARDIAN_MOMENTUM_FLOOR,0.7996
1000PEPEUSDT,2026-04-11 20:00:00+00:00,2026-04-12 20:00:00+00:00,SHORT,0.003718,0.003499,0.003526,0.003816,1.97,24,1.4544,GUARDIAN_MOMENTUM_EXIT,0.7041
ETHUSDT,2026-04-12 00:00:00+00:00,2026-04-12 20:00:00+00:00,SHORT,2283.41772,2213.36613,2245.22,2339.534978,0.68,20,0.747,GUARDIAN_MOMENTUM_FLOOR,0.8896
TAOUSDT,2026-04-12 00:00:00+00:00,2026-04-12 01:00:00+00:00,SHORT,272.30378,264.482175,261.301195,283.940646,0.95,1,0.6981,GUARDIAN_MOMENTUM_FLOOR,0.7162
BNBUSDT,2026-04-12 10:00:00+00:00,2026-04-13 05:00:00+00:00,SHORT,593.46312,597.995207,587.818802,597.696358,1.33,19,-0.2109,LOSS,0.7334
TONUSDT,2026-04-12 12:00:00+00:00,2026-04-13 12:00:00+00:00,SHORT,1.44008,1.408104,1.387636,1.486411,1.13,24,0.5351,GUARDIAN_EXIT,0.7488
1000SHIBUSDT,2026-04-12 21:00:00+00:00,2026-04-12 23:00:00+00:00,SHORT,0.005803,0.00576,0.005736,0.005854,1.33,2,0.1662,GUARDIAN_MOMENTUM_FLOOR,0.7389
HBARUSDT,2026-04-12 21:00:00+00:00,2026-04-13 05:00:00+00:00,SHORT,0.085937,0.085483,0.084867,0.086857,1.16,8,0.1122,GUARDIAN_MOMENTUM_FLOOR,0.7212
XRPUSDT,2026-04-12 22:00:00+00:00,2026-04-13 13:00:00+00:00,SHORT,1.326736,1.338229,1.312304,1.337561,1.33,15,-0.2366,LOSS,0.7113
DOGEUSDT,2026-04-13 00:00:00+00:00,2026-04-13 14:00:00+00:00,SHORT,0.091234,0.092143,0.090084,0.092097,1.33,14,-0.2691,LOSS,0.7439
SOLUSDT,2026-04-13 01:00:00+00:00,2026-04-13 13:00:00+00:00,SHORT,82.23886,83.265744,80.925165,83.224132,1.33,12,-0.3322,LOSS,0.7125
SUIUSDT,2026-04-13 06:00:00+00:00,2026-04-13 13:00:00+00:00,SHORT,0.907246,0.917413,0.894302,0.916954,1.33,7,-0.3002,LOSS,0.7223
DOTUSDT,2026-04-13 13:00:00+00:00,2026-04-15 01:00:00+00:00,SHORT,1.175412,1.176,1.133702,1.238428,0.66,36,-0.0538,TIMEOUT,0.8388
1000SHIBUSDT,2026-04-13 16:00:00+00:00,2026-04-13 20:00:00+00:00,LONG,0.005762,0.005826,0.005845,0.005699,1.33,4,0.2586,GUARDIAN_MOMENTUM_FLOOR,0.7946
DOGEUSDT,2026-04-13 17:00:00+00:00,2026-04-13 20:00:00+00:00,LONG,0.091566,0.092444,0.093148,0.090264,1.22,3,0.2197,GUARDIAN_MOMENTUM_FLOOR,0.7777
HBARUSDT,2026-04-13 18:00:00+00:00,2026-04-14 00:00:00+00:00,LONG,0.085143,0.086717,0.086621,0.08394,1.23,6,0.4422,GUARDIAN_MOMENTUM_FLOOR,0.7745
TAOUSDT,2026-04-13 19:00:00+00:00,2026-04-14 08:00:00+00:00,SHORT,257.53117,252.276075,249.542194,266.087244,0.93,13,0.0589,GUARDIAN_MOMENTUM_FLOOR,0.7119
TRXUSDT,2026-04-14 02:00:00+00:00,2026-04-14 17:00:00+00:00,SHORT,0.32066,0.322162,0.318935,0.322001,1.29,15,-0.1372,LOSS,0.7348
DOGEUSDT,2026-04-14 04:00:00+00:00,2026-04-14 11:00:00+00:00,LONG,0.093377,0.094233,0.0948,0.092054,1.08,7,0.2092,GUARDIAN_MOMENTUM_FLOOR,0.7727
1000SHIBUSDT,2026-04-15 01:00:00+00:00,2026-04-16 02:00:00+00:00,SHORT,0.005867,0.00599,0.005762,0.005987,0.87,25,-0.5447,LOSS,0.7586
LINKUSDT,2026-04-15 01:00:00+00:00,2026-04-15 17:00:00+00:00,SHORT,9.072462,9.21956,8.912652,9.214952,1.12,16,-0.4253,LOSS,0.7195
DOGEUSDT,2026-04-16 12:00:00+00:00,2026-04-16 14:00:00+00:00,SHORT,0.096632,0.095438,0.09447,0.098412,1.21,2,0.2889,GUARDIAN_MOMENTUM_FLOOR,0.7144
TRXUSDT,2026-04-16 12:00:00+00:00,2026-04-17 11:00:00+00:00,SHORT,0.326217,0.324162,0.324601,0.327784,1.03,23,0.1375,GUARDIAN_MOMENTUM_FLOOR,0.7403
SUIUSDT,2026-04-16 12:00:00+00:00,2026-04-16 14:00:00+00:00,SHORT,0.976112,0.966583,0.953402,0.995478,1.17,2,0.224,GUARDIAN_MOMENTUM_FLOOR,0.7948
1000PEPEUSDT,2026-04-16 12:00:00+00:00,2026-04-17 16:00:00+00:00,SHORT,0.00384,0.004076,0.003692,0.004074,0.63,28,-0.8595,LOSS,0.7706
AVAXUSDT,2026-04-16 14:00:00+00:00,2026-04-16 20:00:00+00:00,LONG,9.403699,9.690152,9.655516,9.214837,1.33,6,0.7415,GUARDIAN_MOMENTUM_FLOOR,0.7995
LINKUSDT,2026-04-16 14:00:00+00:00,2026-04-16 16:00:00+00:00,LONG,9.234615,9.333331,9.438194,9.081931,1.33,2,0.2472,GUARDIAN_MOMENTUM_FLOOR,0.7648
BTCUSDT,2026-04-16 16:00:00+00:00,2026-04-17 10:00:00+00:00,LONG,74177.6703,75192.08515,75513.353533,72922.879192,1.06,18,0.3219,GUARDIAN_MOMENTUM_FLOOR,0.8655
TAOUSDT,2026-04-16 17:00:00+00:00,2026-04-17 02:00:00+00:00,LONG,237.728805,251.29429,246.088509,231.459027,1.33,9,1.4066,GUARDIAN_MOMENTUM_FLOOR,0.8072
AVAXUSDT,2026-04-17 00:00:00+00:00,2026-04-17 07:00:00+00:00,SHORT,9.685155,9.627811,9.404,9.952506,1.05,7,0.128,GUARDIAN_EXIT,0.7164
NEARUSDT,2026-04-17 08:00:00+00:00,2026-04-17 11:00:00+00:00,SHORT,1.423288,1.394697,1.388206,1.449599,1.33,3,0.4822,GUARDIAN_MOMENTUM_FLOOR,0.7223
SOLUSDT,2026-04-17 12:00:00+00:00,2026-04-17 16:00:00+00:00,SHORT,88.77559,90.222681,86.906254,90.177592,1.33,4,-0.4275,LOSS,0.7724
ARBUSDT,2026-04-17 12:00:00+00:00,2026-04-18 12:00:00+00:00,SHORT,0.135832,0.129365,0.1275,0.14005,1.98,24,1.1703,GUARDIAN_MOMENTUM_EXIT,0.8406
AVAXUSDT,2026-04-17 13:00:00+00:00,2026-04-18 13:00:00+00:00,SHORT,9.888054,9.389692,9.441,10.094309,2.17,24,1.24,GUARDIAN_MOMENTUM_EXIT,0.8089
HBARUSDT,2026-04-17 13:00:00+00:00,2026-04-17 16:00:00+00:00,SHORT,0.093063,0.092906,0.0885,0.094798,2.63,3,0.0222,GUARDIAN_EXIT,0.7374
NEARUSDT,2026-04-18 05:00:00+00:00,2026-04-18 13:00:00+00:00,LONG,1.403702,1.381341,1.432594,1.382032,1.33,8,-0.4182,LOSS,0.804
ARBUSDT,2026-04-19 00:00:00+00:00,2026-04-19 04:00:00+00:00,SHORT,0.127836,0.127464,0.124625,0.130403,1.25,4,0.0528,GUARDIAN_EXIT,0.7951
TRXUSDT,2026-04-19 05:00:00+00:00,2026-04-19 10:00:00+00:00,LONG,0.328484,0.331164,0.330116,0.326662,0.9,5,0.184,GUARDIAN_MOMENTUM_FLOOR,0.8077
AVAXUSDT,2026-04-19 11:00:00+00:00,2026-04-20 00:00:00+00:00,SHORT,9.232382,9.077536,9.08365,9.356183,1.2,13,0.3993,GUARDIAN_MOMENTUM_FLOOR,0.7035
LINKUSDT,2026-04-19 16:00:00+00:00,2026-04-19 22:00:00+00:00,SHORT,9.21639,9.075536,9.04666,9.412432,0.87,6,0.3621,GUARDIAN_MOMENTUM_FLOOR,0.7185
ARBUSDT,2026-04-19 16:00:00+00:00,2026-04-20 00:00:00+00:00,SHORT,0.126337,0.123462,0.123235,0.128975,1.18,8,0.5489,GUARDIAN_MOMENTUM_FLOOR,0.7441
ONDOUSDT,2026-04-19 16:00:00+00:00,2026-04-20 00:00:00+00:00,SHORT,0.256472,0.252126,0.250869,0.262601,0.91,8,0.4036,GUARDIAN_MOMENTUM_FLOOR,0.7191
POLUSDT,2026-04-19 18:00:00+00:00,2026-04-19 22:00:00+00:00,LONG,0.089905,0.087922,0.091722,0.087966,0.94,4,-0.5715,LOSS,0.8141
BNBUSDT,2026-04-19 19:00:00+00:00,2026-04-20 00:00:00+00:00,SHORT,622.878405,620.460075,616.312578,630.261457,0.89,5,0.0771,GUARDIAN_MOMENTUM_FLOOR,0.7097
TAOUSDT,2026-04-19 21:00:00+00:00,2026-04-21 09:00:00+00:00,SHORT,242.63862,242.759939,236.393736,251.881221,0.68,36,-0.0449,TIMEOUT,0.7421
DOTUSDT,2026-04-20 01:00:00+00:00,2026-04-20 07:00:00+00:00,LONG,1.251625,1.262368,1.277543,1.226521,1.03,6,0.1946,GUARDIAN_MOMENTUM_FLOOR,0.782
ARBUSDT,2026-04-20 02:00:00+00:00,2026-04-20 08:00:00+00:00,LONG,0.124662,0.125837,0.128651,0.120103,0.87,6,0.2156,GUARDIAN_EXIT,0.8647
BNBUSDT,2026-04-20 05:00:00+00:00,2026-04-20 07:00:00+00:00,LONG,619.36953,624.717485,625.397225,613.633076,1.05,2,0.1959,GUARDIAN_MOMENTUM_FLOOR,0.7832
LINKUSDT,2026-04-20 08:00:00+00:00,2026-04-20 20:00:00+00:00,SHORT,9.161417,9.340722,8.985203,9.336054,1.01,12,-0.5093,LOSS,0.7683
ADAUSDT,2026-04-21 00:00:00+00:00,2026-04-21 17:00:00+00:00,SHORT,0.248676,0.246423,0.244335,0.252485,1.14,17,0.2064,GUARDIAN_MOMENTUM_FLOOR,0.7346
DOTUSDT,2026-04-21 00:00:00+00:00,2026-04-21 20:00:00+00:00,SHORT,1.28036,1.268634,1.256787,1.299893,1.21,20,0.2089,GUARDIAN_MOMENTUM_FLOOR,0.7104
SUIUSDT,2026-04-21 00:00:00+00:00,2026-04-21 17:00:00+00:00,SHORT,0.948026,0.938369,0.932124,0.959952,1.33,17,0.2347,GUARDIAN_MOMENTUM_FLOOR,0.7134
DOGEUSDT,2026-04-21 01:00:00+00:00,2026-04-21 17:00:00+00:00,SHORT,0.095312,0.094427,0.094058,0.096364,1.19,16,0.2122,GUARDIAN_MOMENTUM_FLOOR,0.7048
BTCUSDT,2026-04-21 05:00:00+00:00,2026-04-21 08:00:00+00:00,LONG,75798.6804,76424.1688,76568.417481,75050.06573,1.03,3,0.1863,GUARDIAN_MOMENTUM_FLOOR,0.752
BNBUSDT,2026-04-21 22:00:00+00:00,2026-04-22 16:00:00+00:00,LONG,629.584635,644.61753,636.6423,623.355584,1.13,18,0.5769,GUARDIAN_MOMENTUM_FLOOR,0.8258
XRPUSDT,2026-04-21 22:00:00+00:00,2026-04-22 16:00:00+00:00,LONG,1.422111,1.445477,1.44359,1.40493,1.25,18,0.3908,GUARDIAN_MOMENTUM_FLOOR,0.7884
ARBUSDT,2026-04-22 08:00:00+00:00,2026-04-22 17:00:00+00:00,SHORT,0.128436,0.131381,0.1239,0.131315,1.58,9,-0.3324,LOSS,0.7285
HBARUSDT,2026-04-22 15:00:00+00:00,2026-04-23 09:00:00+00:00,LONG,0.092676,0.090188,0.094302,0.090234,0.67,18,-0.6911,LOSS,0.7607
LINKUSDT,2026-04-23 08:00:00+00:00,2026-04-23 15:00:00+00:00,SHORT,9.219388,9.34259,9.107703,9.337921,0.94,7,-0.3541,LOSS,0.736
TRXUSDT,2026-04-23 09:00:00+00:00,2026-04-24 15:00:00+00:00,LONG,0.328144,0.325326,0.330509,0.325489,0.89,30,-0.2347,LOSS,0.8026
SUIUSDT,2026-04-23 11:00:00+00:00,2026-04-24 00:00:00+00:00,SHORT,0.937431,0.949546,0.92191,0.949072,1.33,13,-0.1958,LOSS,0.7348
HBARUSDT,2026-04-23 16:00:00+00:00,2026-04-24 20:00:00+00:00,SHORT,0.090525,0.091668,0.089238,0.091622,1.17,28,-0.3356,LOSS,0.7081
NEARUSDT,2026-04-23 17:00:00+00:00,2026-04-24 01:00:00+00:00,SHORT,1.387306,1.410522,1.357292,1.409817,1.33,8,-0.4384,LOSS,0.7039
BTCUSDT,2026-04-23 20:00:00+00:00,2026-04-25 08:00:00+00:00,LONG,77880.22065,77841.28054,79008.607233,76618.003354,0.89,36,-0.0325,TIMEOUT,0.7757
SOLUSDT,2026-04-23 20:00:00+00:00,2026-04-24 20:00:00+00:00,LONG,85.58277,86.786585,86.831528,84.107811,0.85,24,0.3317,GUARDIAN_MOMENTUM_EXIT,0.8234
1000SHIBUSDT,2026-04-24 02:00:00+00:00,2026-04-24 15:00:00+00:00,SHORT,0.006143,0.006217,0.006058,0.006214,1.19,13,-0.3229,LOSS,0.7031
POLUSDT,2026-04-24 05:00:00+00:00,2026-04-24 11:00:00+00:00,SHORT,0.094033,0.095285,0.092525,0.095237,1.25,6,-0.3528,LOSS,0.7415
1000PEPEUSDT,2026-04-24 05:00:00+00:00,2026-04-25 16:00:00+00:00,SHORT,0.003834,0.003817,0.003747,0.003907,1.21,35,0.0959,GUARDIAN_EXIT,0.7022
ARBUSDT,2026-04-24 08:00:00+00:00,2026-04-25 01:00:00+00:00,SHORT,0.128736,0.131733,0.125266,0.131667,1.18,17,-0.6021,LOSS,0.71
XRPUSDT,2026-04-24 14:00:00+00:00,2026-04-26 01:00:00+00:00,LONG,1.433316,1.418127,1.45037,1.418837,1.18,35,-0.2849,LOSS,0.857
TONUSDT,2026-04-24 16:00:00+00:00,2026-04-24 21:00:00+00:00,LONG,1.315257,1.33913,1.338757,1.286925,0.83,5,0.4338,GUARDIAN_MOMENTUM_FLOOR,0.8884
TRXUSDT,2026-04-24 23:00:00+00:00,2026-04-26 11:00:00+00:00,SHORT,0.322769,0.32293,0.31868,0.326076,1.24,36,-0.0325,TIMEOUT,0.7799
1000SHIBUSDT,2026-04-25 08:00:00+00:00,2026-04-25 23:00:00+00:00,SHORT,0.00623,0.006172,0.006156,0.006303,1.02,15,0.2119,GUARDIAN_MOMENTUM_FLOOR,0.8358
DOTUSDT,2026-04-25 08:00:00+00:00,2026-04-25 23:00:00+00:00,SHORT,1.265367,1.246623,1.245793,1.280048,1.33,15,0.3503,GUARDIAN_MOMENTUM_FLOOR,0.7351
SOLUSDT,2026-04-25 09:00:00+00:00,2026-04-25 16:00:00+00:00,SHORT,86.486735,85.88292,85.760177,87.101639,1.18,7,0.1545,GUARDIAN_MOMENTUM_FLOOR,0.776
ARBUSDT,2026-04-25 09:00:00+00:00,2026-04-25 22:00:00+00:00,SHORT,0.131634,0.128664,0.1285,0.133961,1.35,13,0.544,GUARDIAN_MOMENTUM_FLOOR,0.786
HBARUSDT,2026-04-25 09:00:00+00:00,2026-04-25 20:00:00+00:00,SHORT,0.091884,0.090915,0.09059,0.092681,1.62,11,0.2435,GUARDIAN_MOMENTUM_FLOOR,0.7171
ADAUSDT,2026-04-25 13:00:00+00:00,2026-04-25 20:00:00+00:00,SHORT,0.251774,0.249825,0.248581,0.254598,1.13,7,0.1735,GUARDIAN_MOMENTUM_FLOOR,0.727
SOLUSDT,2026-04-26 12:00:00+00:00,2026-04-26 19:00:00+00:00,LONG,86.093025,86.79658,86.785833,85.573419,1.33,7,0.1843,GUARDIAN_MOMENTUM_FLOOR,0.7697
NEARUSDT,2026-04-27 01:00:00+00:00,2026-04-27 23:00:00+00:00,SHORT,1.410294,1.364682,1.378,1.427184,1.91,22,0.7886,GUARDIAN_MOMENTUM_FLOOR,0.7046
BTCUSDT,2026-04-27 04:00:00+00:00,2026-04-27 09:00:00+00:00,SHORT,78843.1587,77895.02805,77777.0,79702.160171,1.24,5,0.2806,GUARDIAN_MOMENTUM_FLOOR,0.8323
ETHUSDT,2026-04-27 04:00:00+00:00,2026-04-27 23:00:00+00:00,SHORT,2380.72904,2303.43114,2346.254159,2412.60872,1.08,19,0.7917,GUARDIAN_MOMENTUM_FLOOR,0.8044
BNBUSDT,2026-04-27 04:00:00+00:00,2026-04-27 20:00:00+00:00,SHORT,637.02133,624.562125,631.598339,641.735748,1.15,16,0.469,GUARDIAN_MOMENTUM_FLOOR,0.7024
DOGEUSDT,2026-04-27 04:00:00+00:00,2026-04-27 11:00:00+00:00,SHORT,0.0999,0.098489,0.098347,0.101064,1.33,7,0.3331,GUARDIAN_MOMENTUM_FLOOR,0.746
ADAUSDT,2026-04-27 04:00:00+00:00,2026-04-27 14:00:00+00:00,SHORT,0.252874,0.247724,0.248886,0.255864,1.33,10,0.4891,GUARDIAN_MOMENTUM_FLOOR,0.8562
AVAXUSDT,2026-04-27 04:00:00+00:00,2026-04-27 22:00:00+00:00,SHORT,9.489253,9.222609,9.358142,9.587586,1.33,18,0.6825,GUARDIAN_MOMENTUM_FLOOR,0.8078
DOTUSDT,2026-04-27 04:00:00+00:00,2026-04-27 23:00:00+00:00,SHORT,1.266366,1.231616,1.246378,1.281358,1.33,19,0.666,GUARDIAN_MOMENTUM_FLOOR,0.8414
SUIUSDT,2026-04-27 04:00:00+00:00,2026-04-27 14:00:00+00:00,SHORT,0.957221,0.934467,0.9369,0.968582,1.79,10,0.5743,GUARDIAN_MOMENTUM_FLOOR,0.8605
HBARUSDT,2026-04-27 04:00:00+00:00,2026-04-27 12:00:00+00:00,SHORT,0.092444,0.091045,0.09126,0.093466,1.16,8,0.3581,GUARDIAN_MOMENTUM_FLOOR,0.8191
1000SHIBUSDT,2026-04-27 05:00:00+00:00,2026-04-27 22:00:00+00:00,SHORT,0.006143,0.00612,0.006026,0.006262,0.98,17,0.0731,GUARDIAN_EXIT,0.7052
LINKUSDT,2026-04-27 05:00:00+00:00,2026-04-27 17:00:00+00:00,SHORT,9.344326,9.218607,9.182096,9.575557,0.7,12,0.3163,GUARDIAN_MOMENTUM_FLOOR,0.7056
ARBUSDT,2026-04-27 05:00:00+00:00,2026-04-27 16:00:00+00:00,SHORT,0.127336,0.124562,0.123636,0.131825,0.82,11,0.5246,GUARDIAN_MOMENTUM_FLOOR,0.8324
TAOUSDT,2026-04-27 12:00:00+00:00,2026-04-27 17:00:00+00:00,SHORT,250.684595,247.133505,245.609237,258.228839,0.67,5,0.3341,GUARDIAN_MOMENTUM_FLOOR,0.7691
DOGEUSDT,2026-04-27 14:00:00+00:00,2026-04-27 16:00:00+00:00,SHORT,0.098701,0.097489,0.097209,0.100883,0.68,2,0.287,GUARDIAN_MOMENTUM_FLOOR,0.8731
DOGEUSDT,2026-04-27 20:00:00+00:00,2026-04-28 04:00:00+00:00,SHORT,0.097951,0.099644,0.096454,0.099594,0.91,8,-0.4521,LOSS,0.7953
ADAUSDT,2026-04-27 20:00:00+00:00,2026-04-29 08:00:00+00:00,SHORT,0.245377,0.2455,0.241748,0.249507,0.88,36,-0.0325,TIMEOUT,0.7403
1000PEPEUSDT,2026-04-27 21:00:00+00:00,2026-04-29 04:00:00+00:00,SHORT,0.00382,0.003927,0.00374,0.003925,0.76,31,-0.7173,LOSS,0.705
LINKUSDT,2026-04-27 22:00:00+00:00,2026-04-29 10:00:00+00:00,SHORT,9.253371,9.257998,9.138966,9.397601,0.79,36,-0.0325,TIMEOUT,0.7035
ARBUSDT,2026-04-27 22:00:00+00:00,2026-04-28 14:00:00+00:00,SHORT,0.125637,0.124162,0.123098,0.127735,1.21,16,0.2735,GUARDIAN_MOMENTUM_FLOOR,0.7356
ETHUSDT,2026-04-28 09:00:00+00:00,2026-04-29 06:00:00+00:00,LONG,2282.5407,2322.648095,2310.436789,2259.565978,1.21,21,0.4193,GUARDIAN_MOMENTUM_FLOOR,0.7947
NEARUSDT,2026-04-28 13:00:00+00:00,2026-04-28 16:00:00+00:00,SHORT,1.354322,1.337668,1.335609,1.370678,1.14,3,0.2874,GUARDIAN_MOMENTUM_FLOOR,0.8527
AVAXUSDT,2026-04-28 20:00:00+00:00,2026-04-29 04:00:00+00:00,SHORT,9.171412,9.259928,9.05956,9.255301,1.33,8,-0.2613,LOSS,0.7047
ARBUSDT,2026-04-29 00:00:00+00:00,2026-04-29 12:00:00+00:00,LONG,0.124362,0.127836,0.126389,0.122493,1.08,12,0.6783,GUARDIAN_MOMENTUM_FLOOR,0.9052
TONUSDT,2026-04-29 08:00:00+00:00,2026-04-29 11:00:00+00:00,LONG,1.321761,1.347626,1.340807,1.292038,0.64,3,0.4692,GUARDIAN_MOMENTUM_FLOOR,0.8339
SOLUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,84.1579,83.351655,83.050835,85.316766,0.96,5,0.2195,GUARDIAN_MOMENTUM_FLOOR,0.7414
BNBUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,623.76796,620.47008,618.831824,630.044034,0.79,5,0.1122,GUARDIAN_MOMENTUM_FLOOR,0.7435
ADAUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,0.248776,0.244922,0.244654,0.251866,1.33,5,0.3672,GUARDIAN_MOMENTUM_FLOOR,0.721
1000SHIBUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,0.006317,0.006162,0.006135,0.006453,1.33,5,0.5925,GUARDIAN_MOMENTUM_FLOOR,0.8042
AVAXUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,9.250373,9.18459,9.088783,9.394397,1.12,5,0.1578,GUARDIAN_MOMENTUM_FLOOR,0.7767
LINKUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,9.266365,9.151574,9.129993,9.431093,0.83,5,0.2897,GUARDIAN_MOMENTUM_FLOOR,0.7074
DOTUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,1.234383,1.217608,1.21163,1.252688,1.24,5,0.3197,GUARDIAN_MOMENTUM_FLOOR,0.7538
SUIUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,0.921739,0.909054,0.907555,0.941246,0.73,5,0.324,GUARDIAN_MOMENTUM_FLOOR,0.8692
1000PEPEUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,0.003956,0.003875,0.003807,0.004067,1.33,5,0.4893,GUARDIAN_MOMENTUM_FLOOR,0.889
ARBUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,0.127836,0.126163,0.124225,0.130545,1.33,5,0.3072,GUARDIAN_MOMENTUM_FLOOR,0.8512
ONDOUSDT,2026-04-29 12:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,0.266667,0.262431,0.26197,0.270189,1.33,5,0.3771,GUARDIAN_MOMENTUM_FLOOR,0.7307
POLUSDT,2026-04-29 17:00:00+00:00,2026-04-29 18:00:00+00:00,SHORT,0.092944,0.091376,0.090319,0.094912,1.33,1,0.4017,GUARDIAN_MOMENTUM_FLOOR,0.918
AVAXUSDT,2026-04-29 18:00:00+00:00,2026-05-01 06:00:00+00:00,SHORT,9.05447,9.058998,8.830884,9.403897,0.64,36,-0.0325,TIMEOUT,0.744
ARBUSDT,2026-04-29 21:00:00+00:00,2026-04-30 21:00:00+00:00,SHORT,0.124838,0.123962,0.120427,0.131703,0.64,24,0.1553,GUARDIAN_EXIT,0.7122
TAOUSDT,2026-04-30 00:00:00+00:00,2026-04-30 15:00:00+00:00,SHORT,252.45371,250.08498,246.588144,259.236392,0.86,15,0.2146,GUARDIAN_MOMENTUM_FLOOR,0.7686
DOGEUSDT,2026-04-30 04:00:00+00:00,2026-05-01 13:00:00+00:00,SHORT,0.104908,0.109482,0.100599,0.109427,0.95,33,-1.1101,LOSS,0.7678
XRPUSDT,2026-04-30 08:00:00+00:00,2026-05-01 12:00:00+00:00,LONG,1.372786,1.382009,1.391325,1.353365,0.95,28,0.148,GUARDIAN_EXIT,0.783
